Time,Full_name,Quality,Type,Kind,Exterior,Price,OnSale
2023-6-6 9:24,UMP-45 | 色如焦糖 (崭新出厂),消费级,普通,微型冲锋枪,崭新出厂,229.8,当前在售(65)
2023-6-6 9:24,UMP-45 | 色如焦糖 (久经沙场),消费级,普通,微型冲锋枪,久经沙场,50.7,当前在售(65)
2023-6-6 9:24,UMP-45 | 色如焦糖 (破损不堪),消费级,普通,微型冲锋枪,破损不堪,55,当前在售(65)
2023-6-6 9:24,UMP-45 | 色如焦糖 (战痕累累),消费级,普通,微型冲锋枪,战痕累累,48.48,当前在售(65)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 自由之手 (略有磨损) ,隐秘,★ StatTrak™,匕首,略有磨损,1077,当前在售(7)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 自由之手 (崭新出厂),隐秘,★,匕首,崭新出厂,1400,当前在售(7)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 自由之手 (久经沙场),隐秘,★,匕首,久经沙场,988,当前在售(7)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 自由之手 (破损不堪),隐秘,★,匕首,破损不堪,899.5,当前在售(7)
2023-6-6 9:24,暗影双匕（★ StatTrak™） | 自由之手 (战痕累累),隐秘,★,匕首,战痕累累,929,当前在售(7)
2023-6-6 9:24,蝴蝶刀（★） | 蓝钢 (略有磨损) ,隐秘,★,匕首,略有磨损,6840,当前在售(126)
2023-6-6 9:24,蝴蝶刀（★） | 蓝钢 (崭新出厂),隐秘,★,匕首,崭新出厂,8499,当前在售(126)
2023-6-6 9:24,蝴蝶刀（★） | 蓝钢 (久经沙场),隐秘,★,匕首,久经沙场,6564,当前在售(126)
2023-6-6 9:24,蝴蝶刀（★） | 蓝钢 (破损不堪),隐秘,★,匕首,破损不堪,6320,当前在售(126)
2023-6-6 9:24,蝴蝶刀（★） | 蓝钢 (战痕累累),隐秘,★,匕首,战痕累累,6388,当前在售(126)
2023-6-6 9:24,SG 553 | 军队之辉 (略有磨损) ,消费级,普通,步枪,略有磨损,0.19,当前在售(791)
2023-6-6 9:24,SG 553 | 军队之辉 (崭新出厂),消费级,普通,步枪,崭新出厂,0.39,当前在售(791)
